year,season,fishery,length,freq
1972,2,1,2,0
1972,2,1,4,0
1972,2,1,6,0
1972,2,1,8,0
1972,2,1,10,0
1972,2,1,12,0
1972,2,1,14,0
1972,2,1,16,0
1972,2,1,18,0
1972,2,1,20,0
1972,2,1,22,0
1972,2,1,24,0
1972,2,1,26,0
1972,2,1,28,0
1972,2,1,30,0
1972,2,1,32,0.445065201809729
1972,2,1,34,0
1972,2,1,36,2.53733051379167
1972,2,1,38,117.666981434426
1972,2,1,40,824.366293969654
1972,2,1,42,728.869983674019
1972,2,1,44,219.97233207278
1972,2,1,46,55.0871431521688
1972,2,1,48,23.7261050277445
1972,2,1,50,7.43304773369869
1972,2,1,52,0.890130403619458
1972,2,1,54,2.67039121085837
1972,2,1,56,0.445065201809729
1972,2,1,58,0
1972,2,1,60,0
1972,2,1,62,0.890130403619458
1972,2,1,64,0
1972,2,1,66,0
1972,2,1,68,0
1972,2,1,70,0
1972,2,1,72,0
1972,2,1,74,0
1972,2,1,76,0
1972,2,1,78,0
1972,2,1,80,0
1972,2,1,82,0
1972,2,1,84,0
1972,2,1,86,0
1972,2,1,88,0
1972,2,1,90,0
1972,2,1,92,0
1972,2,1,94,0
1972,2,1,96,0
1972,2,1,98,0
1972,2,1,100,0
1972,2,1,102,0
1972,2,1,104,0
1972,2,1,106,0
1972,2,1,108,0
1972,3,1,2,0
1972,3,1,4,0
1972,3,1,6,0
1972,3,1,8,0
1972,3,1,10,0
1972,3,1,12,0
1972,3,1,14,0
1972,3,1,16,0
1972,3,1,18,0
1972,3,1,20,0
1972,3,1,22,0
1972,3,1,24,0
1972,3,1,26,0
1972,3,1,28,0
1972,3,1,30,0
1972,3,1,32,0.767819954958281
1972,3,1,34,3.41148389875207
1972,3,1,36,10.6620675722955
1972,3,1,38,10.2344516962562
1972,3,1,40,17.4661491506744
1972,3,1,42,139.19527931311
1972,3,1,44,151.062225825966
1972,3,1,46,48.4719358801114
1972,3,1,48,27.9533931287292
1972,3,1,50,14.7445165193229
1972,3,1,52,4.85026890198561
1972,3,1,54,0.680408157837888
1972,3,1,56,0
1972,3,1,58,0
1972,3,1,60,0
1972,3,1,62,0
1972,3,1,64,0
1972,3,1,66,0
1972,3,1,68,0
1972,3,1,70,0
1972,3,1,72,0
1972,3,1,74,0
1972,3,1,76,0
1972,3,1,78,0
1972,3,1,80,0
1972,3,1,82,0
1972,3,1,84,0
1972,3,1,86,0
1972,3,1,88,0
1972,3,1,90,0
1972,3,1,92,0
1972,3,1,94,0
1972,3,1,96,0
1972,3,1,98,0
1972,3,1,100,0
1972,3,1,102,0
1972,3,1,104,0
1972,3,1,106,0
1972,3,1,108,0
1973,1,1,2,0
1973,1,1,4,0
1973,1,1,6,0
1973,1,1,8,0
1973,1,1,10,0
1973,1,1,12,0
1973,1,1,14,0
1973,1,1,16,0
1973,1,1,18,0
1973,1,1,20,0
1973,1,1,22,0
1973,1,1,24,0
1973,1,1,26,0
