age,year,season,area,f
1,1972,1,1,0.0005079368
2,1972,1,1,0.005173735
3,1972,1,1,0.0493149
4,1972,1,1,0.06251507
5,1972,1,1,0.04419118
6,1972,1,1,0.03203239
7,1972,1,1,0.02700076
8,1972,1,1,0.02527995
9,1972,1,1,0.02503098
10,1972,1,1,0.02533028
11,1972,1,1,0.02573412
12,1972,1,1,0.02606434
13,1972,1,1,0.02627707
14,1972,1,1,0.02638502
15,1972,1,1,0.02641718
16,1972,1,1,0.02641718
1,1973,1,1,0.0007137077
2,1973,1,1,0.007989302
3,1973,1,1,0.07875536
4,1973,1,1,0.09238979
5,1973,1,1,0.06141828
6,1973,1,1,0.04450097
7,1973,1,1,0.03904362
8,1973,1,1,0.03825829
9,1973,1,1,0.03929866
10,1973,1,1,0.04079786
11,1973,1,1,0.04212968
12,1973,1,1,0.04308466
13,1973,1,1,0.04366261
14,1973,1,1,0.04394367
15,1973,1,1,0.04402092
16,1973,1,1,0.04402092
1,1974,1,1,0.0003715003
2,1974,1,1,0.004125155
3,1974,1,1,0.04055714
4,1974,1,1,0.04788663
5,1974,1,1,0.03202954
6,1974,1,1,0.02327365
7,1974,1,1,0.02044098
8,1974,1,1,0.0200371
9,1974,1,1,0.02057766
10,1974,1,1,0.02135206
11,1974,1,1,0.02203809
12,1974,1,1,0.02252953
13,1974,1,1,0.02282732
14,1974,1,1,0.02297303
15,1974,1,1,0.02301449
16,1974,1,1,0.02301449
1,1975,1,1,0.0003090124
2,1975,1,1,0.003928422
3,1975,1,1,0.04027518
4,1975,1,1,0.04298169
5,1975,1,1,0.02620396
6,1975,1,1,0.01909353
7,1975,1,1,0.01793363
8,1975,1,1,0.01880564
9,1975,1,1,0.02027876
10,1975,1,1,0.02171186
11,1975,1,1,0.02283862
12,1975,1,1,0.0236036
13,1975,1,1,0.02405392
14,1975,1,1,0.0242699
15,1975,1,1,0.02432924
16,1975,1,1,0.02432924
1,1976,1,1,0.0002735859
2,1976,1,1,0.003102009
3,1976,1,1,0.0307129
4,1976,1,1,0.03567606
5,1976,1,1,0.02354925
6,1976,1,1,0.01715974
7,1976,1,1,0.0152802
8,1976,1,1,0.01518945
9,1976,1,1,0.01575962
10,1976,1,1,0.01645949
11,1976,1,1,0.01705425
12,1976,1,1,0.01747292
13,1976,1,1,0.01772461
14,1976,1,1,0.01784756
15,1976,1,1,0.01788302
16,1976,1,1,0.01788302
1,1977,1,1,0.0006140516
2,1977,1,1,0.008162572
3,1977,1,1,0.0847151
4,1977,1,1,0.08765896
5,1977,1,1,0.05172182
6,1977,1,1,0.03764508
7,1977,1,1,0.03609528
8,1977,1,1,0.03859418
9,1977,1,1,0.04217653
10,1977,1,1,0.04553527
11,1977,1,1,0.04813793
12,1977,1,1,0.04989217
13,1977,1,1,0.05091997
14,1977,1,1,0.05141037
15,1977,1,1,0.05154273
16,1977,1,1,0.05154273
1,1978,1,1,0.002050651
2,1978,1,1,0.02653747
3,1978,1,1,0.2734016
4,1978,1,1,0.2881378
5,1978,1,1,0.1732446
6,1978,1,1,0.1257447
7,1978,1,1,0.1184881
8,1978,1,1,0.1247445
9,1978,1,1,0.1349579
10,1978,1,1,0.1448459
11,1978,1,1,0.1526128
12,1978,1,1,0.1578827
13,1978,1,1,0.1609798
14,1978,1,1,0.1624574
15,1978,1,1,0.162852
16,1978,1,1,0.162852
1,1979,1,1,0.001752362
2,1979,1,1,0.02411924
3,1979,1,1,0.2526018
4,1979,1,1,0.2553624
5,1979,1,1,0.1467792
6,1979,1,1,0.1067008
7,1979,1,1,0.1039858
8,1979,1,1,0.1128515
9,1979,1,1,0.1245603
10,1979,1,1,0.1353069
11,1979,1,1,0.1435625
12,1979,1,1,0.1491024
13,1979,1,1,0.1523386
14,1979,1,1,0.1538772
15,1979,1,1,0.154287
16,1979,1,1,0.154287
1,1980,1,1,0.001067896
2,1980,1,1,0.01358374
3,1980,1,1,0.1392794
4,1980,1,1,0.1485704
5,1980,1,1,0.09048445
6,1980,1,1,0.06578312
7,1980,1,1,0.06160423
8,1980,1,1,0.06445239
9,1980,1,1,0.06941412
10,1980,1,1,0.07427829
11,1980,1,1,0.07811629
12,1980,1,1,0.08072636
13,1980,1,1,0.0822631
14,1980,1,1,0.08299857
15,1980,1,1,0.0831978
16,1980,1,1,0.0831978
1,1981,1,1,0.001269402
