year,season,area,age,n
1972,1,1,1,44920800
1972,1,1,2,91018900
1972,1,1,3,2615460
1972,1,1,4,1046840
1972,1,1,5,963167
1972,1,1,6,1348410
1972,1,1,7,132898
1972,1,1,8,90570.5
1972,1,1,9,78667.3
1972,1,1,10,65584.9
1972,1,1,11,13901.3
1972,1,1,12,9563.64
1972,1,1,13,7731.71
1972,1,1,14,6029.76
1972,1,1,15,1818.7
1972,1,1,16,84.2933
1973,1,1,1,90317900
1973,1,1,2,94155800
1973,1,1,3,799801
1973,1,1,4,572328
1973,1,1,5,1478210
1973,1,1,6,2687530
1973,1,1,7,145315
1973,1,1,8,86300.3
1973,1,1,9,76745.1
1973,1,1,10,75270.7
1973,1,1,11,11361.7
1973,1,1,12,7521.48
1973,1,1,13,6169.38
1973,1,1,14,4960.86
1973,1,1,15,1395.47
1973,1,1,16,3435.53
1974,1,1,1,1953610
1974,1,1,2,128790000
1974,1,1,3,1056240
1974,1,1,4,936182
1974,1,1,5,1598080
1974,1,1,6,1254150
1974,1,1,7,77012
1974,1,1,8,81010.9
1974,1,1,9,88642.6
1974,1,1,10,83289.8
1974,1,1,11,13223.2
1974,1,1,12,9144.44
1974,1,1,13,7332.88
1974,1,1,14,5685.03
1974,1,1,15,1592.82
1974,1,1,16,4894.33
1975,1,1,1,1766180
1975,1,1,2,75798100
1975,1,1,3,3643730
1975,1,1,4,991735
1975,1,1,5,464737
1975,1,1,6,1459190
1975,1,1,7,115478
1975,1,1,8,154394
1975,1,1,9,116083
1975,1,1,10,66145
1975,1,1,11,9841.96
1975,1,1,12,8590.32
1975,1,1,13,7397.39
1975,1,1,14,5715.33
1975,1,1,15,1640.96
1975,1,1,16,5178.1
1976,1,1,1,85645600
1976,1,1,2,151481000
1976,1,1,3,6862920
1976,1,1,4,2001540
1976,1,1,5,353256
1976,1,1,6,968562
1976,1,1,7,133828
1976,1,1,8,75068.4
1976,1,1,9,69114
1976,1,1,10,80265.3
1976,1,1,11,14883.8
1976,1,1,12,17625.7
1976,1,1,13,10782.3
1976,1,1,14,5963.31
1976,1,1,15,1444.12
1976,1,1,16,5282.6
1977,1,1,1,9372140
1977,1,1,2,47950400
1977,1,1,3,2555060
1977,1,1,4,749451
1977,1,1,5,1181500
1977,1,1,6,1292240
1977,1,1,7,126988
1977,1,1,8,73778.4
1977,1,1,9,45500.6
1977,1,1,10,55920.3
1977,1,1,11,14209.5
1977,1,1,12,7009.76
1977,1,1,13,6211.59
1977,1,1,14,6422.74
1977,1,1,15,1676.74
1977,1,1,16,6504.96
1978,1,1,1,15215200
1978,1,1,2,92998300
1978,1,1,3,2720020
1978,1,1,4,1647100
1978,1,1,5,423858
1978,1,1,6,281364
1978,1,1,7,78820
1978,1,1,8,36828.8
1978,1,1,9,58571.9
1978,1,1,10,54723.6
1978,1,1,11,7806.04
1978,1,1,12,5129.04
1978,1,1,13,3605.73
1978,1,1,14,4095.96
1978,1,1,15,1349.7
1978,1,1,16,4021.68
1979,1,1,1,66820000
1979,1,1,2,63151700
1979,1,1,3,1102160
1979,1,1,4,346270
1979,1,1,5,273585
1979,1,1,6,299448
1979,1,1,7,100788
1979,1,1,8,34313.9
1979,1,1,9,36763.1
1979,1,1,10,18127.1
1979,1,1,11,8245.97
1979,1,1,12,2562.97
1979,1,1,13,3361.02
1979,1,1,14,3219.94
1979,1,1,15,602.992
1979,1,1,16,2291.41
1980,1,1,1,33515300
1980,1,1,2,66224100
1980,1,1,3,1366700
1980,1,1,4,406467
1980,1,1,5,692099
1980,1,1,6,225783
1980,1,1,7,47073.4
1980,1,1,8,23994.7
1980,1,1,9,49473.8
1980,1,1,10,32341.5
1980,1,1,11,15992.3
1980,1,1,12,3297.23
1980,1,1,13,3893.53
1980,1,1,14,1901.84
1980,1,1,15,1128.85
1980,1,1,16,2561.82
1981,1,1,1,7503960
1981,1,1,2,48035200
1981,1,1,3,374178
1981,1,1,4,397996
1981,1,1,5,680699
1981,1,1,6,329363
1981,1,1,7,57379.4
1981,1,1,8,28119
1981,1,1,9,38662
1981,1,1,10,17163.5
1981,1,1,11,6977.81
1981,1,1,12,2279.04
1981,1,1,13,4726.23
1981,1,1,14,3085.36
1981,1,1,15,1917.01
1981,1,1,16,2370.6
1982,1,1,1,43010300
1982,1,1,2,47522100
1982,1,1,3,794802
1982,1,1,4,513762
1982,1,1,5,408114
1982,1,1,6,294642
1982,1,1,7,18488.1
1982,1,1,8,33803.6
1982,1,1,9,62205.1
1982,1,1,10,36952.2
1982,1,1,11,9584.3
1982,1,1,12,3454.2
1982,1,1,13,3613.64
1982,1,1,14,1778.99
1982,1,1,15,950.562
1982,1,1,16,2978.69
1983,1,1,1,84950900
1983,1,1,2,30053300
1983,1,1,3,847329
1983,1,1,4,645426
1983,1,1,5,570833
1983,1,1,6,338958
1983,1,1,7,30285.9
1983,1,1,8,40293.3
1983,1,1,9,43248.3
1983,1,1,10,20122.8
1983,1,1,11,3352.54
1983,1,1,12,3485.3
1983,1,1,13,5400.38
1983,1,1,14,3504.5
1983,1,1,15,1199.42
1983,1,1,16,2227.78
1984,1,1,1,3723520
1984,1,1,2,77728000
1984,1,1,3,960668
1984,1,1,4,829253
1984,1,1,5,1456170
1984,1,1,6,468107
1984,1,1,7,69027
1984,1,1,8,75552
1984,1,1,9,56541.2
1984,1,1,10,35436.6
1984,1,1,11,5774.59
1984,1,1,12,5323.03
1984,1,1,13,4941.63
1984,1,1,14,2344.7
1984,1,1,15,609.318
1984,1,1,16,3714.63
1985,1,1,1,21538300
1985,1,1,2,35847400
1985,1,1,3,7889720
1985,1,1,4,645672
1985,1,1,5,367277
1985,1,1,6,604028
1985,1,1,7,38527.8
1985,1,1,8,85874.7
1985,1,1,9,80813.7
1985,1,1,10,47766.4
1985,1,1,11,8596.48
1985,1,1,12,7361.04
1985,1,1,13,4725.83
1985,1,1,14,3032.09
1985,1,1,15,784.253
1985,1,1,16,2889.26
1986,1,1,1,7370410
1986,1,1,2,89063700
1986,1,1,3,736214
1986,1,1,4,1538900
1986,1,1,5,388601
1986,1,1,6,194558
1986,1,1,7,58065.8
1986,1,1,8,42435.1
1986,1,1,9,35161
1986,1,1,10,49370
1986,1,1,11,4195.02
1986,1,1,12,8478.93
1986,1,1,13,6193.43
1986,1,1,14,4527.01
1986,1,1,15,970.99
1986,1,1,16,3009.28
1987,1,1,1,14863900
1987,1,1,2,45818300
1987,1,1,3,1460350
1987,1,1,4,1289780
1987,1,1,5,1001220
1987,1,1,6,903614
1987,1,1,7,55151.9
1987,1,1,8,126094
1987,1,1,9,47824.3
1987,1,1,10,38724.7
1987,1,1,11,9254.83
1987,1,1,12,5948.26
1987,1,1,13,4581.06
1987,1,1,14,6457.42
1987,1,1,15,713.806
1987,1,1,16,5136.17
1988,1,1,1,21738500
1988,1,1,2,66674400
1988,1,1,3,1927880
1988,1,1,4,962949
1988,1,1,5,768749
1988,1,1,6,623617
1988,1,1,7,137172
1988,1,1,8,109983
1988,1,1,9,132007
1988,1,1,10,98662.6
1988,1,1,11,9885.45
1988,1,1,12,11962.5
1988,1,1,13,5368.05
1988,1,1,14,4905.68
1988,1,1,15,1305.68
1988,1,1,16,4886.41
1989,1,1,1,12501900
1989,1,1,2,28622400
1989,1,1,3,1684570
1989,1,1,4,1377380
1989,1,1,5,668363
1989,1,1,6,786898
1989,1,1,7,145094
1989,1,1,8,110019
1989,1,1,9,84468.3
1989,1,1,10,61344.6
1989,1,1,11,17889.5
1989,1,1,12,8653.87
1989,1,1,13,12691.6
1989,1,1,14,10176.1
1989,1,1,15,1404.49
1989,1,1,16,4980.24
1990,1,1,1,135503000
1990,1,1,2,23069500
1990,1,1,3,756458
1990,1,1,4,2987350
1990,1,1,5,464228
1990,1,1,6,582148
1990,1,1,7,91079.6
1990,1,1,8,104321
1990,1,1,9,74105.1
1990,1,1,10,68100.4
1990,1,1,11,19236.9
1990,1,1,12,12166.6
1990,1,1,13,8324.97
1990,1,1,14,6536.64
1990,1,1,15,2318.51
1990,1,1,16,6715.06
1991,1,1,1,6181830
1991,1,1,2,29784800
1991,1,1,3,1598160
1991,1,1,4,2608470
1991,1,1,5,1516980
1991,1,1,6,396760
1991,1,1,7,49770.1
1991,1,1,8,105423
1991,1,1,9,49534.9
1991,1,1,10,49907.9
1991,1,1,11,8388.55
1991,1,1,12,10763.3
1991,1,1,13,7076.94
1991,1,1,14,6868.59
1991,1,1,15,2355.12
1991,1,1,16,6326.63
1992,1,1,1,77145500
1992,1,1,2,15646800
1992,1,1,3,1175650
1992,1,1,4,1749220
1992,1,1,5,883760
1992,1,1,6,470567
1992,1,1,7,84029.1
1992,1,1,8,85728
1992,1,1,9,70393.6
1992,1,1,10,47113
1992,1,1,11,8066.93
1992,1,1,12,9016.57
1992,1,1,13,4786.98
1992,1,1,14,4760.56
1992,1,1,15,1041.07
1992,1,1,16,6283.21
1993,1,1,1,12268800
1993,1,1,2,40984200
1993,1,1,3,890236
1993,1,1,4,975845
1993,1,1,5,1548270
1993,1,1,6,246875
1993,1,1,7,132650
1993,1,1,8,90072.5
1993,1,1,9,117776
1993,1,1,10,57779.2
1993,1,1,11,10205.4
1993,1,1,12,8551.13
1993,1,1,13,5971.8
1993,1,1,14,5436.07
1993,1,1,15,1269.28
1993,1,1,16,5032.06
1994,1,1,1,48533100
1994,1,1,2,24967700
1994,1,1,3,810828
1994,1,1,4,1102070
1994,1,1,5,789346
1994,1,1,6,501589
1994,1,1,7,39278
1994,1,1,8,65635.3
1994,1,1,9,117444
1994,1,1,10,21750.1
1994,1,1,11,16655
1994,1,1,12,7368.46
1994,1,1,13,10069.1
1994,1,1,14,5482.73
1994,1,1,15,1169
1994,1,1,16,4291.66
1995,1,1,1,140243000
1995,1,1,2,54513100
1995,1,1,3,975973
1995,1,1,4,1372410
1995,1,1,5,859591
1995,1,1,6,407962
1995,1,1,7,60750.9
1995,1,1,8,79591.9
1995,1,1,9,118885
1995,1,1,10,59227.4
1995,1,1,11,4833
1995,1,1,12,8161.36
1995,1,1,13,12664.6
1995,1,1,14,2619.75
1995,1,1,15,2348.43
1995,1,1,16,5699.27
1996,1,1,1,27183100
1996,1,1,2,52013500
1996,1,1,3,1128610
1996,1,1,4,2680260
1996,1,1,5,1917810
1996,1,1,6,982860
1996,1,1,7,51491.5
1996,1,1,8,126042
1996,1,1,9,69925
1996,1,1,10,44817.7
1996,1,1,11,8706.58
1996,1,1,12,8731.68
1996,1,1,13,12947.2
1996,1,1,14,6554.97
1996,1,1,15,675.665
1996,1,1,16,6028.21
1997,1,1,1,109612000
1997,1,1,2,114018000
1997,1,1,3,1435890
1997,1,1,4,1579680
1997,1,1,5,749068
1997,1,1,6,459303
1997,1,1,7,47689.8
1997,1,1,8,87264.2
1997,1,1,9,110488
1997,1,1,10,78351.1
1997,1,1,11,6133.1
1997,1,1,12,12902.4
1997,1,1,13,5925.61
1997,1,1,14,4242.23
1997,1,1,15,1113.78
1997,1,1,16,5642.99
1998,1,1,1,25686100
1998,1,1,2,30091600
1998,1,1,3,1068090
1998,1,1,4,1190120
1998,1,1,5,1939040
1998,1,1,6,1289680
1998,1,1,7,84228.2
1998,1,1,8,103468
1998,1,1,9,83855.9
1998,1,1,10,39411
1998,1,1,11,7594.75
1998,1,1,12,8056.89
1998,1,1,13,10602.3
1998,1,1,14,8603.05
1998,1,1,15,955.67
1998,1,1,16,6073.3
1999,1,1,1,4101220
1999,1,1,2,23662300
1999,1,1,3,2022240
1999,1,1,4,2639130
1999,1,1,5,627331
1999,1,1,6,744080
1999,1,1,7,76304.2
1999,1,1,8,60776.1
1999,1,1,9,116790
1999,1,1,10,70495
1999,1,1,11,9739.32
1999,1,1,12,9356.04
1999,1,1,13,7900.65
1999,1,1,14,3979.46
1999,1,1,15,1048.06
1999,1,1,16,5977.02
2000,1,1,1,124619000
2000,1,1,2,88510300
2000,1,1,3,1055600
2000,1,1,4,2461580
2000,1,1,5,584681
2000,1,1,6,334694
2000,1,1,7,53481.8
2000,1,1,8,118716
2000,1,1,9,59636.1
2000,1,1,10,76792.6
2000,1,1,11,9964.32
2000,1,1,12,5719.57
2000,1,1,13,9217.32
2000,1,1,14,6009.98
2000,1,1,15,1240.23
2000,1,1,16,4870.98
2001,1,1,1,15886900
2001,1,1,2,17964000
2001,1,1,3,1508530
2001,1,1,4,2948840
2001,1,1,5,1542730
2001,1,1,6,996144
2001,1,1,7,67208
2001,1,1,8,84420.9
2001,1,1,9,69494.3
2001,1,1,10,39530.1
2001,1,1,11,7879.93
2001,1,1,12,13149.9
2001,1,1,13,6438.74
2001,1,1,14,8219.72
2001,1,1,15,1383.74
2001,1,1,16,4978.28
2002,1,1,1,67016900
2002,1,1,2,7288260
2002,1,1,3,758271
2002,1,1,4,5884750
2002,1,1,5,929750
2002,1,1,6,600181
2002,1,1,7,145961
2002,1,1,8,99499
2002,1,1,9,101092
2002,1,1,10,93110.9
2002,1,1,11,11116.4
2002,1,1,12,8990.2
2002,1,1,13,8187.38
2002,1,1,14,5045.37
2002,1,1,15,1354.49
2002,1,1,16,7525.41
2003,1,1,1,3981390
2003,1,1,2,7290730
2003,1,1,3,6040080
2003,1,1,4,830860
2003,1,1,5,1113550
2003,1,1,6,432226
2003,1,1,7,44124.7
2003,1,1,8,139338
2003,1,1,9,125882
2003,1,1,10,71169.8
2003,1,1,11,18532
2003,1,1,12,8233.09
2003,1,1,13,8551.27
2003,1,1,14,9122.89
2003,1,1,15,1467.08
2003,1,1,16,5647.01
2004,1,1,1,27326800
2004,1,1,2,28988100
2004,1,1,3,8180930
2004,1,1,4,998215
2004,1,1,5,452856
2004,1,1,6,406802
2004,1,1,7,92155.4
2004,1,1,8,53815.5
2004,1,1,9,73535.1
